2024-06-18 08:45:59.961 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670611203104  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:45:59.961 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670611203104  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:45:59.961 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670611203104  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:45:59.961 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670611203104  [0;39m 请求参数: [{"category2Id":213,"page":1,"size":1000}]
2024-06-18 08:45:59.974 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670611203104  [0;39m 总行数：2
2024-06-18 08:45:59.974 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670611203104  [0;39m 总页数：1
2024-06-18 08:45:59.975 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670611203104  [0;39m 返回结果: {"content":{"list":[{"category1Id":211,"category2Id":213,"cover":"/image/903298259a9848989bf314425ad4b1b7.jpg","description":"鲸鱼","id":5,"name":"抹香鲸"},{"category1Id":211,"category2Id":213,"cover":"/image/cover2.png","description":"虎虎虎","id":6,"name":"虎鲸"}],"total":2},"success":true}
2024-06-18 08:45:59.975 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670611203104  [0;39m ------------- 结束 耗时：15 ms -------------
2024-06-18 08:46:00.848 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670640268320  [0;39m ------------- 开始 -------------
2024-06-18 08:46:00.848 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670640268320  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:00.848 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670640268320  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:00.848 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670640268320  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:00.848 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670640268320  [0;39m 请求参数: [{"category2Id":213,"page":1,"size":1000}]
2024-06-18 08:46:00.854 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670640268320  [0;39m 总行数：2
2024-06-18 08:46:00.854 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670640268320  [0;39m 总页数：1
2024-06-18 08:46:00.854 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670640268320  [0;39m 返回结果: {"content":{"list":[{"category1Id":211,"category2Id":213,"cover":"/image/903298259a9848989bf314425ad4b1b7.jpg","description":"鲸鱼","id":5,"name":"抹香鲸"},{"category1Id":211,"category2Id":213,"cover":"/image/cover2.png","description":"虎虎虎","id":6,"name":"虎鲸"}],"total":2},"success":true}
2024-06-18 08:46:00.855 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670640268320  [0;39m ------------- 结束 耗时：7 ms -------------
2024-06-18 08:46:02.505 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670694564896  [0;39m ------------- 开始 -------------
2024-06-18 08:46:02.505 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670694564896  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:02.505 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670694564896  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:02.505 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670694564896  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:02.506 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670694564896  [0;39m 请求参数: [{"category2Id":101,"page":1,"size":1000}]
2024-06-18 08:46:02.511 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670694564896  [0;39m 总行数：1
2024-06-18 08:46:02.512 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670694564896  [0;39m 总页数：1
2024-06-18 08:46:02.512 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670694564896  [0;39m 返回结果: {"content":{"list":[{"category1Id":100,"category2Id":101,"cover":"/image/24085cf8aee746c4a5480f405f5cd84c.jpg","description":"海产藻类（Algae）的统称，通常固着于海底或某种固体结构上，是基础细胞所构成的单株或一长串的简单植物。","docCount":1,"id":2,"name":"海藻","viewCount":13,"voteCount":4}],"total":1},"success":true}
2024-06-18 08:46:02.512 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670694564896  [0;39m ------------- 结束 耗时：7 ms -------------
2024-06-18 08:46:04.666 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670765376544  [0;39m ------------- 开始 -------------
2024-06-18 08:46:04.666 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670765376544  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:04.667 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670765376544  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:04.667 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670765376544  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:04.668 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670765376544  [0;39m 请求参数: [{"category2Id":201,"page":1,"size":1000}]
2024-06-18 08:46:04.672 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670765376544  [0;39m 总行数：0
2024-06-18 08:46:04.673 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670765376544  [0;39m 总页数：0
2024-06-18 08:46:04.673 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670765376544  [0;39m 返回结果: {"content":{"list":[],"total":0},"success":true}
2024-06-18 08:46:04.673 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670765376544  [0;39m ------------- 结束 耗时：8 ms -------------
2024-06-18 08:46:05.550 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670794343456  [0;39m ------------- 开始 -------------
2024-06-18 08:46:05.551 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670794343456  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:05.551 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670794343456  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:05.551 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670794343456  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:05.551 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670794343456  [0;39m 请求参数: [{"category2Id":202,"page":1,"size":1000}]
2024-06-18 08:46:05.555 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670794343456  [0;39m 总行数：0
2024-06-18 08:46:05.555 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670794343456  [0;39m 总页数：0
2024-06-18 08:46:05.556 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670794343456  [0;39m 返回结果: {"content":{"list":[],"total":0},"success":true}
2024-06-18 08:46:05.556 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670794343456  [0;39m ------------- 结束 耗时：6 ms -------------
2024-06-18 08:46:06.472 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670824555552  [0;39m ------------- 开始 -------------
2024-06-18 08:46:06.473 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670824555552  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:06.473 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670824555552  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:06.473 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670824555552  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:06.473 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670824555552  [0;39m 请求参数: [{"category2Id":201,"page":1,"size":1000}]
2024-06-18 08:46:06.477 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670824555552  [0;39m 总行数：0
2024-06-18 08:46:06.478 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670824555552  [0;39m 总页数：0
2024-06-18 08:46:06.478 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670824555552  [0;39m 返回结果: {"content":{"list":[],"total":0},"success":true}
2024-06-18 08:46:06.478 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670824555552  [0;39m ------------- 结束 耗时：6 ms -------------
2024-06-18 08:46:07.904 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670871479328  [0;39m ------------- 开始 -------------
2024-06-18 08:46:07.905 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670871479328  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:07.905 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670871479328  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:07.905 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670871479328  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:07.905 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670871479328  [0;39m 请求参数: [{"category2Id":101,"page":1,"size":1000}]
2024-06-18 08:46:07.915 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670871479328  [0;39m 总行数：1
2024-06-18 08:46:07.916 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670871479328  [0;39m 总页数：1
2024-06-18 08:46:07.916 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670871479328  [0;39m 返回结果: {"content":{"list":[{"category1Id":100,"category2Id":101,"cover":"/image/24085cf8aee746c4a5480f405f5cd84c.jpg","description":"海产藻类（Algae）的统称，通常固着于海底或某种固体结构上，是基础细胞所构成的单株或一长串的简单植物。","docCount":1,"id":2,"name":"海藻","viewCount":13,"voteCount":4}],"total":1},"success":true}
2024-06-18 08:46:07.916 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670871479328  [0;39m ------------- 结束 耗时：12 ms -------------
2024-06-18 08:46:09.054 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670909162528  [0;39m ------------- 开始 -------------
2024-06-18 08:46:09.055 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670909162528  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:09.055 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670909162528  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:09.055 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670909162528  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:09.056 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670909162528  [0;39m 请求参数: [{"category2Id":102,"page":1,"size":1000}]
2024-06-18 08:46:09.063 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670909162528  [0;39m 总行数：2
2024-06-18 08:46:09.064 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670909162528  [0;39m 总页数：1
2024-06-18 08:46:09.064 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670909162528  [0;39m 返回结果: {"content":{"list":[{"category1Id":100,"category2Id":102,"cover":"/image/9fbb2b8e4f7549f8877d1af01c9ffca4.jpg","description":"虎皮鲨鱼","docCount":3,"id":1,"name":"虎鲸","viewCount":744,"voteCount":484},{"category1Id":100,"category2Id":102,"cover":"/image/99878478bddc43fc8f21335bf5bb0545.jpg","description":"多年生海生沉水草本。根茎匍匐，侧扁，棕红色，密被厚层长纤维（叶鞘残迹）。","docCount":1,"id":4,"name":"海神草","viewCount":6,"voteCount":2}],"total":2},"success":true}
2024-06-18 08:46:09.065 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670909162528  [0;39m ------------- 结束 耗时：11 ms -------------
2024-06-18 08:46:10.781 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670965752865  [0;39m ------------- 开始 -------------
2024-06-18 08:46:10.781 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670965752864  [0;39m ------------- 开始 -------------
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670965752864  [0;39m 请求地址: http://localhost:8080/category/allList GET
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670965752865  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670965752864  [0;39m 类名方法: com.gec.wiki.controller.CategoryController.allList
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670965752865  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670965752864  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670965752865  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:46:10.782 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670965752864  [0;39m 请求参数: [{}]
2024-06-18 08:46:10.783 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670965752865  [0;39m 请求参数: [{"category2Id":0,"page":1,"size":5}]
2024-06-18 08:46:10.787 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670965752864  [0;39m 返回结果: {"content":[{"id":211,"name":"海洋动物","parent":0,"sort":1},{"id":213,"name":"海洋游泳动物","parent":211,"sort":1},{"id":100,"name":"海洋植物","parent":0,"sort":2},{"id":208,"name":"test2","parent":207,"sort":2},{"id":212,"name":"海洋浮游动物","parent":211,"sort":2},{"id":200,"name":"微生物","parent":0,"sort":3},{"id":214,"name":"海洋底栖动物","parent":211,"sort":3},{"id":3568229154456608,"name":"鸡哥哥","parent":11,"sort":22},{"id":101,"name":"藻类植物","parent":100,"sort":101},{"id":102,"name":"红树林","parent":100,"sort":102},{"id":201,"name":"地下微生物","parent":200,"sort":201},{"id":202,"name":"海洋微生物","parent":200,"sort":202}],"success":true}
2024-06-18 08:46:10.787 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670965752864  [0;39m ------------- 结束 耗时：6 ms -------------
2024-06-18 08:46:10.792 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670965752865  [0;39m 总行数：6
2024-06-18 08:46:10.792 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670965752865  [0;39m 总页数：2
2024-06-18 08:46:10.794 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670965752865  [0;39m 返回结果: {"content":{"list":[{"category1Id":100,"category2Id":102,"cover":"/image/9fbb2b8e4f7549f8877d1af01c9ffca4.jpg","description":"虎皮鲨鱼","docCount":3,"id":1,"name":"虎鲸","viewCount":744,"voteCount":484},{"category1Id":100,"category2Id":101,"cover":"/image/24085cf8aee746c4a5480f405f5cd84c.jpg","description":"海产藻类（Algae）的统称，通常固着于海底或某种固体结构上，是基础细胞所构成的单株或一长串的简单植物。","docCount":1,"id":2,"name":"海藻","viewCount":13,"voteCount":4},{"category1Id":211,"category2Id":212,"cover":"/image/06492a9c30f34db8a89ec581d99dad5c.jpg","description":"双生水母多营养体期有前、后2个泳钟。前泳钟五角锥状,有5条完整的纵棱,泳囊口有齿,干室较深,口板不分瓣;后泳钟顶部为显著的榫突插进前泳钟干室,泳囊口也有齿。","docCount":1,"id":3,"name":"双生水母","viewCount":6,"voteCount":3},{"category1Id":100,"category2Id":102,"cover":"/image/99878478bddc43fc8f21335bf5bb0545.jpg","description":"多年生海生沉水草本。根茎匍匐，侧扁，棕红色，密被厚层长纤维（叶鞘残迹）。","docCount":1,"id":4,"name":"海神草","viewCount":6,"voteCount":2},{"category1Id":211,"category2Id":213,"cover":"/image/903298259a9848989bf314425ad4b1b7.jpg","description":"鲸鱼","id":5,"name":"抹香鲸"}],"total":6},"success":true}
